Name	Type	Width	Decimal	NULL																																																																																																																											
pricedm113	Date	8	0	TRUE	pricedm113 date null																																																																																																																										
pricedm114	Date	8	0	TRUE	pricedm114 date null																																																																																																																										
pricedm115	Date	8	0	TRUE	pricedm115 date null																																																																																																																										
pricedm116	Date	8	0	TRUE	pricedm116 date null																																																																																																																										
pricedm117	Date	8	0	TRUE	pricedm117 date null																																																																																																																										
pricedm118	Date	8	0	TRUE	pricedm118 date null																																																																																																																										
pricedm119	Date	8	0	TRUE	pricedm119 date null																																																																																																																										
pricedm120	Date	8	0	TRUE	pricedm120 date null																																																																																																																										
																																																																																																																															
company_id varchar(8) not null	priced_y1 date null	priced_y2 date null	priced_y3 date null	priced_y4 date null	priced_y5 date null	priced_y6 date null	priced_y7 date null	pricedm001 date null	pricedm002 date null	pricedm003 date null	pricedm004 date null	pricedm005 date null	pricedm006 date null	pricedm007 date null	pricedm008 date null	pricedm009 date null	pricedm010 date null	pricedm011 date null	pricedm012 date null	pricedm013 date null	pricedm014 date null	pricedm015 date null	pricedm016 date null	pricedm017 date null	pricedm018 date null	pricedm019 date null	pricedm020 date null	pricedm021 date null	pricedm022 date null	pricedm023 date null	pricedm024 date null	pricedm025 date null	pricedm026 date null	pricedm027 date null	pricedm028 date null	pricedm029 date null	pricedm030 date null	pricedm031 date null	pricedm032 date null	pricedm033 date null	pricedm034 date null	pricedm035 date null	pricedm036 date null	pricedm037 date null	pricedm038 date null	pricedm039 date null	pricedm040 date null	pricedm041 date null	pricedm042 date null	pricedm043 date null	pricedm044 date null	pricedm045 date null	pricedm046 date null	pricedm047 date null	pricedm048 date null	pricedm049 date null	pricedm050 date null	pricedm051 date null	pricedm052 date null	pricedm053 date null	pricedm054 date null	pricedm055 date null	pricedm056 date null	pricedm057 date null	pricedm058 date null	pricedm059 date null	pricedm060 date null	pricedm061 date null	pricedm062 date null	pricedm063 date null	pricedm064 date null	pricedm065 date null	pricedm066 date null	pricedm067 date null	pricedm068 date null	pricedm069 date null	pricedm070 date null	pricedm071 date null	pricedm072 date null	pricedm073 date null	pricedm074 date null	pricedm075 date null	pricedm076 date null	pricedm077 date null	pricedm078 date null	pricedm079 date null	pricedm080 date null	pricedm081 date null	pricedm082 date null	pricedm083 date null	pricedm084 date null	pricedm085 date null	pricedm086 date null	pricedm087 date null	pricedm088 date null	pricedm089 date null	pricedm090 date null	pricedm091 date null	pricedm092 date null	pricedm093 date null	pricedm094 date null	pricedm095 date null	pricedm096 date null	pricedm097 date null	pricedm098 date null	pricedm099 date null	pricedm100 date null	pricedm101 date null	pricedm102 date null	pricedm103 date null	pricedm104 date null	pricedm105 date null	pricedm106 date null	pricedm107 date null	pricedm108 date null	pricedm109 date null	pricedm110 date null	pricedm111 date null	pricedm112 date null	pricedm113 date null	pricedm114 date null	pricedm115 date null	pricedm116 date null	pricedm117 date null	pricedm118 date null	pricedm119 date null	pricedm120 date null
