Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																																																								
tl_ta_y1	Numeric	6	1	TRUE	"tl_ta_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y2	Numeric	6	1	TRUE	"tl_ta_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y3	Numeric	6	1	TRUE	"tl_ta_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y4	Numeric	6	1	TRUE	"tl_ta_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y5	Numeric	6	1	TRUE	"tl_ta_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y6	Numeric	6	1	TRUE	"tl_ta_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
tl_ta_y7	Numeric	6	1	TRUE	"tl_ta_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_q1	Numeric	6	1	TRUE	"ltd_tc_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y1	Numeric	6	1	TRUE	"ltd_tc_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y2	Numeric	6	1	TRUE	"ltd_tc_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y3	Numeric	6	1	TRUE	"ltd_tc_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y4	Numeric	6	1	TRUE	"ltd_tc_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y5	Numeric	6	1	TRUE	"ltd_tc_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y6	Numeric	6	1	TRUE	"ltd_tc_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_tc_y7	Numeric	6	1	TRUE	"ltd_tc_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_q1	Numeric	6	1	TRUE	"ltd_eq_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y1	Numeric	6	1	TRUE	"ltd_eq_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y2	Numeric	6	1	TRUE	"ltd_eq_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y3	Numeric	6	1	TRUE	"ltd_eq_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y4	Numeric	6	1	TRUE	"ltd_eq_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y5	Numeric	6	1	TRUE	"ltd_eq_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y6	Numeric	6	1	TRUE	"ltd_eq_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
ltd_eq_y7	Numeric	6	1	TRUE	"ltd_eq_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_12m	Numeric	6	1	TRUE	"invtrn_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y1	Numeric	6	1	TRUE	"invtrn_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y2	Numeric	6	1	TRUE	"invtrn_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y3	Numeric	6	1	TRUE	"invtrn_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y4	Numeric	6	1	TRUE	"invtrn_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y5	Numeric	6	1	TRUE	"invtrn_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y6	Numeric	6	1	TRUE	"invtrn_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
invtrn_y7	Numeric	6	1	TRUE	"invtrn_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_12m	Numeric	6	1	TRUE	"ta_trn_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y1	Numeric	6	1	TRUE	"ta_trn_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y2	Numeric	6	1	TRUE	"ta_trn_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y3	Numeric	6	1	TRUE	"ta_trn_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y4	Numeric	6	1	TRUE	"ta_trn_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y5	Numeric	6	1	TRUE	"ta_trn_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y6	Numeric	6	1	TRUE	"ta_trn_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
ta_trn_y7	Numeric	6	1	TRUE	"ta_trn_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
pr_prh_52w	Numeric	8	1	TRUE	"pr_prh_52w decimal(8,1) null"																																																																																																																																																																																																																																																							
ltd_wc_q1	Numeric	6	1	TRUE	"ltd_wc_q1 decimal(6,1) null"																																																																																																																																																																																																																																																							
avm_03m	Numeric	10	0	TRUE	"avm_03m decimal(10,0) null"																																																																																																																																																																																																																																																							
avd_10d	Numeric	10	0	TRUE	"avd_10d decimal(10,0) null"																																																																																																																																																																																																																																																							
rs_04w	Numeric	7	2	TRUE	"rs_04w decimal(7,2) null"																																																																																																																																																																																																																																																							
rs_13w	Numeric	7	2	TRUE	"rs_13w decimal(7,2) null"																																																																																																																																																																																																																																																							
rs_26w	Numeric	7	2	TRUE	"rs_26w decimal(7,2) null"																																																																																																																																																																																																																																																							
rs_52w	Numeric	7	2	TRUE	"rs_52w decimal(7,2) null"																																																																																																																																																																																																																																																							
beta	Numeric	6	2	TRUE	"beta decimal(6,2) null"																																																																																																																																																																																																																																																							
mktcap	Numeric	8	1	TRUE	"mktcap decimal(8,1) null"																																																																																																																																																																																																																																																							
float	Numeric	10	3	TRUE	"float decimal(10,3) null"																																																																																																																																																																																																																																																							
shrinstn	Numeric	9	0	TRUE	"shrinstn decimal(9,0) null"																																																																																																																																																																																																																																																							
shrinst	Numeric	5	1	TRUE	"shrinst decimal(5,1) null"																																																																																																																																																																																																																																																							
shrinsd	Numeric	5	1	TRUE	"shrinsd decimal(5,1) null"																																																																																																																																																																																																																																																							
eps_eg5	Numeric	5	1	TRUE	"eps_eg5 decimal(5,1) null"																																																																																																																																																																																																																																																							
epspm_eg5	Numeric	5	1	TRUE	"epspm_eg5 decimal(5,1) null"																																																																																																																																																																																																																																																							
epsh_eg5	Numeric	5	1	TRUE	"epsh_eg5 decimal(5,1) null"																																																																																																																																																																																																																																																							
epsl_eg5	Numeric	5	1	TRUE	"epsl_eg5 decimal(5,1) null"																																																																																																																																																																																																																																																							
opm_12m	Numeric	6	1	TRUE	"opm_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y1	Numeric	6	1	TRUE	"opm_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y2	Numeric	6	1	TRUE	"opm_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y3	Numeric	6	1	TRUE	"opm_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
