Name	Type	Width	Decimal	NULL																																																																																																																																																																																										
stdebt_y7	Character	10	0	TRUE	stdebt_y7 varchar(10) null																																																																																																																																																																																									
ocl_y1	Character	10	0	TRUE	ocl_y1 varchar(10) null																																																																																																																																																																																									
ocl_y2	Character	10	0	TRUE	ocl_y2 varchar(10) null																																																																																																																																																																																									
ocl_y3	Character	10	0	TRUE	ocl_y3 varchar(10) null																																																																																																																																																																																									
ocl_y4	Character	10	0	TRUE	ocl_y4 varchar(10) null																																																																																																																																																																																									
ocl_y5	Character	10	0	TRUE	ocl_y5 varchar(10) null																																																																																																																																																																																									
ocl_y6	Character	10	0	TRUE	ocl_y6 varchar(10) null																																																																																																																																																																																									
ocl_y7	Character	10	0	TRUE	ocl_y7 varchar(10) null																																																																																																																																																																																									
cl_y1	Character	10	0	TRUE	cl_y1 varchar(10) null																																																																																																																																																																																									
cl_y2	Character	10	0	TRUE	cl_y2 varchar(10) null																																																																																																																																																																																									
cl_y3	Character	10	0	TRUE	cl_y3 varchar(10) null																																																																																																																																																																																									
cl_y4	Character	10	0	TRUE	cl_y4 varchar(10) null																																																																																																																																																																																									
cl_y5	Character	10	0	TRUE	cl_y5 varchar(10) null																																																																																																																																																																																									
cl_y6	Character	10	0	TRUE	cl_y6 varchar(10) null																																																																																																																																																																																									
cl_y7	Character	10	0	TRUE	cl_y7 varchar(10) null																																																																																																																																																																																									
ltdebt_y1	Character	10	0	TRUE	ltdebt_y1 varchar(10) null																																																																																																																																																																																									
ltdebt_y2	Character	10	0	TRUE	ltdebt_y2 varchar(10) null																																																																																																																																																																																									
ltdebt_y3	Character	10	0	TRUE	ltdebt_y3 varchar(10) null																																																																																																																																																																																									
ltdebt_y4	Character	10	0	TRUE	ltdebt_y4 varchar(10) null																																																																																																																																																																																									
ltdebt_y5	Character	10	0	TRUE	ltdebt_y5 varchar(10) null																																																																																																																																																																																									
ltdebt_y6	Character	10	0	TRUE	ltdebt_y6 varchar(10) null																																																																																																																																																																																									
ltdebt_y7	Character	10	0	TRUE	ltdebt_y7 varchar(10) null																																																																																																																																																																																									
oltl_y1	Character	10	0	TRUE	oltl_y1 varchar(10) null																																																																																																																																																																																									
oltl_y2	Character	10	0	TRUE	oltl_y2 varchar(10) null																																																																																																																																																																																									
oltl_y3	Character	10	0	TRUE	oltl_y3 varchar(10) null																																																																																																																																																																																									
oltl_y4	Character	10	0	TRUE	oltl_y4 varchar(10) null																																																																																																																																																																																									
oltl_y5	Character	10	0	TRUE	oltl_y5 varchar(10) null																																																																																																																																																																																									
oltl_y6	Character	10	0	TRUE	oltl_y6 varchar(10) null																																																																																																																																																																																									
oltl_y7	Character	10	0	TRUE	oltl_y7 varchar(10) null																																																																																																																																																																																									
liab_y1	Character	10	0	TRUE	liab_y1 varchar(10) null																																																																																																																																																																																									
liab_y2	Character	10	0	TRUE	liab_y2 varchar(10) null																																																																																																																																																																																									
liab_y3	Character	10	0	TRUE	liab_y3 varchar(10) null																																																																																																																																																																																									
liab_y4	Character	10	0	TRUE	liab_y4 varchar(10) null																																																																																																																																																																																									
liab_y5	Character	10	0	TRUE	liab_y5 varchar(10) null																																																																																																																																																																																									
liab_y6	Character	10	0	TRUE	liab_y6 varchar(10) null																																																																																																																																																																																									
liab_y7	Character	10	0	TRUE	liab_y7 varchar(10) null																																																																																																																																																																																									
pref_y1	Character	10	0	TRUE	pref_y1 varchar(10) null																																																																																																																																																																																									
pref_y2	Character	10	0	TRUE	pref_y2 varchar(10) null																																																																																																																																																																																									
pref_y3	Character	10	0	TRUE	pref_y3 varchar(10) null																																																																																																																																																																																									
pref_y4	Character	10	0	TRUE	pref_y4 varchar(10) null																																																																																																																																																																																									
pref_y5	Character	10	0	TRUE	pref_y5 varchar(10) null																																																																																																																																																																																									
pref_y6	Character	10	0	TRUE	pref_y6 varchar(10) null																																																																																																																																																																																									
pref_y7	Character	10	0	TRUE	pref_y7 varchar(10) null																																																																																																																																																																																									
equity_y1	Character	10	0	TRUE	equity_y1 varchar(10) null																																																																																																																																																																																									
equity_y2	Character	10	0	TRUE	equity_y2 varchar(10) null																																																																																																																																																																																									
equity_y3	Character	10	0	TRUE	equity_y3 varchar(10) null																																																																																																																																																																																									
equity_y4	Character	10	0	TRUE	equity_y4 varchar(10) null																																																																																																																																																																																									
equity_y5	Character	10	0	TRUE	equity_y5 varchar(10) null																																																																																																																																																																																									
equity_y6	Character	10	0	TRUE	equity_y6 varchar(10) null																																																																																																																																																																																									
equity_y7	Character	10	0	TRUE	equity_y7 varchar(10) null																																																																																																																																																																																									
totloe_y1	Character	10	0	TRUE	totloe_y1 varchar(10) null																																																																																																																																																																																									
totloe_y2	Character	10	0	TRUE	totloe_y2 varchar(10) null																																																																																																																																																																																									
totloe_y3	Character	10	0	TRUE	totloe_y3 varchar(10) null																																																																																																																																																																																									
totloe_y4	Character	10	0	TRUE	totloe_y4 varchar(10) null																																																																																																																																																																																									
totloe_y5	Character	10	0	TRUE	totloe_y5 varchar(10) null																																																																																																																																																																																									
totloe_y6	Character	10	0	TRUE	totloe_y6 varchar(10) null																																																																																																																																																																																									
totloe_y7	Character	10	0	TRUE	totloe_y7 varchar(10) null																																																																																																																																																																																									
bvps_y1	Character	10	0	TRUE	bvps_y1 varchar(10) null																																																																																																																																																																																									
bvps_y2	Character	10	0	TRUE	bvps_y2 varchar(10) null																																																																																																																																																																																									
bvps_y3	Character	10	0	TRUE	bvps_y3 varchar(10) null																																																																																																																																																																																									
bvps_y4	Character	10	0	TRUE	bvps_y4 varchar(10) null																																																																																																																																																																																									
bvps_y5	Character	10	0	TRUE	bvps_y5 varchar(10) null																																																																																																																																																																																									
bvps_y6	Character	10	0	TRUE	bvps_y6 varchar(10) null																																																																																																																																																																																									
bvps_y7	Character	10	0	TRUE	bvps_y7 varchar(10) null																																																																																																																																																																																									
repno	Character	5	0	FALSE	repno varchar(5) not null																																																																																																																																																																																									
lastmod	Date	8	0	TRUE	lastmod date null																																																																																																																																																																																									
updated	Logical	1	0	FALSE	updated bit not null																																																																																																																																																																																									
ar_y8	Character	10	0	TRUE	ar_y8 varchar(10) null																																																																																																																																																																																									
inv_y8	Character	10	0	TRUE	inv_y8 varchar(10) null																																																																																																																																																																																									
assets_y8	Character	10	0	TRUE	assets_y8 varchar(10) null																																																																																																																																																																																									
equity_y8	Character	10	0	TRUE	equity_y8 varchar(10) null																																																																																																																																																																																									
pref_y8	Character	10	0	TRUE	pref_y8 varchar(10) null																																																																																																																																																																																									
retearn_y1	Character	10	0	TRUE	retearn_y1 varchar(10) null																																																																																																																																																																																									
retearn_y2	Character	10	0	TRUE	retearn_y2 varchar(10) null																																																																																																																																																																																									
retearn_y3	Character	10	0	TRUE	retearn_y3 varchar(10) null																																																																																																																																																																																									
retearn_y4	Character	10	0	TRUE	retearn_y4 varchar(10) null																																																																																																																																																																																									
retearn_y5	Character	10	0	TRUE	retearn_y5 varchar(10) null																																																																																																																																																																																									
retearn_y6	Character	10	0	TRUE	retearn_y6 varchar(10) null																																																																																																																																																																																									
retearn_y7	Character	10	0	TRUE	retearn_y7 varchar(10) null																																																																																																																																																																																									
minor_y1	Character	10	0	TRUE	minor_y1 varchar(10) null																																																																																																																																																																																									
minor_y2	Character	10	0	TRUE	minor_y2 varchar(10) null																																																																																																																																																																																									
minor_y3	Character	10	0	TRUE	minor_y3 varchar(10) null																																																																																																																																																																																									
minor_y4	Character	10	0	TRUE	minor_y4 varchar(10) null																																																																																																																																																																																									
minor_y5	Character	10	0	TRUE	minor_y5 varchar(10) null																																																																																																																																																																																									
minor_y6	Character	10	0	TRUE	minor_y6 varchar(10) null																																																																																																																																																																																									
minor_y7	Character	10	0	TRUE	minor_y7 varchar(10) null																																																																																																																																																																																									
work_y1	Character	10	0	TRUE	work_y1 varchar(10) null																																																																																																																																																																																									
work_y2	Character	10	0	TRUE	work_y2 varchar(10) null																																																																																																																																																																																									
work_y3	Character	10	0	TRUE	work_y3 varchar(10) null																																																																																																																																																																																									
work_y4	Character	10	0	TRUE	work_y4 varchar(10) null																																																																																																																																																																																									
work_y5	Character	10	0	TRUE	work_y5 varchar(10) null																																																																																																																																																																																									
work_y6	Character	10	0	TRUE	work_y6 varchar(10) null																																																																																																																																																																																									
work_y7	Character	10	0	TRUE	work_y7 varchar(10) null																																																																																																																																																																																									
entval_y1	Character	10	0	TRUE	entval_y1 varchar(10) null																																																																																																																																																																																									
entval_y2	Character	10	0	TRUE	entval_y2 varchar(10) null																																																																																																																																																																																									
entval_y3	Character	10	0	TRUE	entval_y3 varchar(10) null																																																																																																																																																																																									
entval_y4	Character	10	0	TRUE	entval_y4 varchar(10) null																																																																																																																																																																																									
entval_y5	Character	10	0	TRUE	entval_y5 varchar(10) null																																																																																																																																																																																									
entval_y6	Character	10	0	TRUE	entval_y6 varchar(10) null																																																																																																																																																																																									
entval_y7	Character	10	0	TRUE	entval_y7 varchar(10) null																																																																																																																																																																																									
																																																																																																																																																																																														
company_id varchar(8) not null	cash_y1 varchar(10) null	cash_y2 varchar(10) null	cash_y3 varchar(10) null	cash_y4 varchar(10) null	cash_y5 varchar(10) null	cash_y6 varchar(10) null	cash_y7 varchar(10) null	stinv_y1 varchar(10) null	stinv_y2 varchar(10) null	stinv_y3 varchar(10) null	stinv_y4 varchar(10) null	stinv_y5 varchar(10) null	stinv_y6 varchar(10) null	stinv_y7 varchar(10) null	ar_y1 varchar(10) null	ar_y2 varchar(10) null	ar_y3 varchar(10) null	ar_y4 varchar(10) null	ar_y5 varchar(10) null	ar_y6 varchar(10) null	ar_y7 varchar(10) null	inv_y1 varchar(10) null	inv_y2 varchar(10) null	inv_y3 varchar(10) null	inv_y4 varchar(10) null	inv_y5 varchar(10) null	inv_y6 varchar(10) null	inv_y7 varchar(10) null	oca_y1 varchar(10) null	oca_y2 varchar(10) null	oca_y3 varchar(10) null	oca_y4 varchar(10) null	oca_y5 varchar(10) null	oca_y6 varchar(10) null	oca_y7 varchar(10) null	ca_y1 varchar(10) null	ca_y2 varchar(10) null	ca_y3 varchar(10) null	ca_y4 varchar(10) null	ca_y5 varchar(10) null	ca_y6 varchar(10) null	ca_y7 varchar(10) null	nppe_y1 varchar(10) null	nppe_y2 varchar(10) null	nppe_y3 varchar(10) null	nppe_y4 varchar(10) null	nppe_y5 varchar(10) null	nppe_y6 varchar(10) null	nppe_y7 varchar(10) null	ltinv_y1 varchar(10) null	ltinv_y2 varchar(10) null	ltinv_y3 varchar(10) null	ltinv_y4 varchar(10) null	ltinv_y5 varchar(10) null	ltinv_y6 varchar(10) null	ltinv_y7 varchar(10) null	gwi_y1 varchar(10) null	gwi_y2 varchar(10) null	gwi_y3 varchar(10) null	gwi_y4 varchar(10) null	gwi_y5 varchar(10) null	gwi_y6 varchar(10) null	gwi_y7 varchar(10) null	olta_y1 varchar(10) null	olta_y2 varchar(10) null	olta_y3 varchar(10) null	olta_y4 varchar(10) null	olta_y5 varchar(10) null	olta_y6 varchar(10) null	olta_y7 varchar(10) null	assets_y1 varchar(10) null	assets_y2 varchar(10) null	assets_y3 varchar(10) null	assets_y4 varchar(10) null	assets_y5 varchar(10) null	assets_y6 varchar(10) null	assets_y7 varchar(10) null	ap_y1 varchar(10) null	ap_y2 varchar(10) null	ap_y3 varchar(10) null	ap_y4 varchar(10) null	ap_y5 varchar(10) null	ap_y6 varchar(10) null	ap_y7 varchar(10) null	stdebt_y1 varchar(10) null	stdebt_y2 varchar(10) null	stdebt_y3 varchar(10) null	stdebt_y4 varchar(10) null	stdebt_y5 varchar(10) null	stdebt_y6 varchar(10) null	stdebt_y7 varchar(10) null	ocl_y1 varchar(10) null	ocl_y2 varchar(10) null	ocl_y3 varchar(10) null	ocl_y4 varchar(10) null	ocl_y5 varchar(10) null	ocl_y6 varchar(10) null	ocl_y7 varchar(10) null	cl_y1 varchar(10) null	cl_y2 varchar(10) null	cl_y3 varchar(10) null	cl_y4 varchar(10) null	cl_y5 varchar(10) null	cl_y6 varchar(10) null	cl_y7 varchar(10) null	ltdebt_y1 varchar(10) null	ltdebt_y2 varchar(10) null	ltdebt_y3 varchar(10) null	ltdebt_y4 varchar(10) null	ltdebt_y5 varchar(10) null	ltdebt_y6 varchar(10) null	ltdebt_y7 varchar(10) null	oltl_y1 varchar(10) null	oltl_y2 varchar(10) null	oltl_y3 varchar(10) null	oltl_y4 varchar(10) null	oltl_y5 varchar(10) null	oltl_y6 varchar(10) null	oltl_y7 varchar(10) null	liab_y1 varchar(10) null	liab_y2 varchar(10) null	liab_y3 varchar(10) null	liab_y4 varchar(10) null	liab_y5 varchar(10) null	liab_y6 varchar(10) null	liab_y7 varchar(10) null	pref_y1 varchar(10) null	pref_y2 varchar(10) null	pref_y3 varchar(10) null	pref_y4 varchar(10) null	pref_y5 varchar(10) null	pref_y6 varchar(10) null	pref_y7 varchar(10) null	equity_y1 varchar(10) null	equity_y2 varchar(10) null	equity_y3 varchar(10) null	equity_y4 varchar(10) null	equity_y5 varchar(10) null	equity_y6 varchar(10) null	equity_y7 varchar(10) null	totloe_y1 varchar(10) null	totloe_y2 varchar(10) null	totloe_y3 varchar(10) null	totloe_y4 varchar(10) null	totloe_y5 varchar(10) null	totloe_y6 varchar(10) null	totloe_y7 varchar(10) null	bvps_y1 varchar(10) null	bvps_y2 varchar(10) null	bvps_y3 varchar(10) null	bvps_y4 varchar(10) null	bvps_y5 varchar(10) null	bvps_y6 varchar(10) null	bvps_y7 varchar(10) null	repno varchar(5) not null	lastmod date null	updated bit not null	ar_y8 varchar(10) null	inv_y8 varchar(10) null	assets_y8 varchar(10) null	equity_y8 varchar(10) null	pref_y8 varchar(10) null	retearn_y1 varchar(10) null	retearn_y2 varchar(10) null	retearn_y3 varchar(10) null	retearn_y4 varchar(10) null	retearn_y5 varchar(10) null	retearn_y6 varchar(10) null	retearn_y7 varchar(10) null	minor_y1 varchar(10) null	minor_y2 varchar(10) null	minor_y3 varchar(10) null	minor_y4 varchar(10) null	minor_y5 varchar(10) null	minor_y6 varchar(10) null	minor_y7 varchar(10) null	work_y1 varchar(10) null	work_y2 varchar(10) null	work_y3 varchar(10) null	work_y4 varchar(10) null	work_y5 varchar(10) null	work_y6 varchar(10) null	work_y7 varchar(10) null	entval_y1 varchar(10) null	entval_y2 varchar(10) null	entval_y3 varchar(10) null	entval_y4 varchar(10) null	entval_y5 varchar(10) null	entval_y6 varchar(10) null	entval_y7 varchar(10) null
